date,hour,sx,sy,ex,ey,h,time,e,x
2019-04-02,12:39:04,299,335,296,330,144,2,0,0
2019-04-02,12:39:10,306,330,329,335,147,5,0,0
2019-04-02,12:39:11,312,334,304,335,132,1,0,0
2019-04-02,12:39:13,430,358,565,332,138,3,0,0
2019-04-02,12:39:15,320,350,313,361,141,4,0,0
2019-04-02,12:39:22,279,340,265,348,135,1,0,0
2019-04-02,12:39:23,299,341,253,351,136,1,0,0
2019-04-02,12:39:29,556,361,443,342,133,6,0,0
2019-04-02,12:39:29,266,352,277,356,127,1,0,0
2019-04-02,12:39:37,253,343,275,353,134,2,0,0
2019-04-02,12:39:38,257,342,265,347,135,1,0,0
2019-04-02,12:39:40,273,347,261,343,135,1,0,0
2019-04-02,12:39:41,443,343,427,352,127,3,0,0
2019-04-02,12:39:41,270,345,271,341,137,1,0,0
2019-04-02,12:39:47,269,337,271,342,137,1,0,0
2019-04-02,12:39:50,436,348,422,363,127,2,0,0
2019-04-02,12:39:51,266,341,275,340,137,1,0,0
2019-04-02,12:40:04,438,352,439,346,125,2,0,0
2019-04-02,12:40:06,277,351,255,337,156,14,0,0
2019-04-02,12:40:07,265,345,277,356,144,2,0,0
2019-04-02,12:40:16,437,348,460,330,144,6,0,0
2019-04-02,12:40:18,276,351,259,341,129,1,0,0
2019-04-02,12:40:21,274,353,255,343,128,1,0,0
2019-04-02,12:40:22,458,329,555,364,144,6,0,0
2019-04-02,12:40:23,270,350,253,348,129,1,0,0
2019-04-02,12:40:27,243,347,264,357,129,1,0,0
2019-04-02,12:40:31,250,352,242,352,127,1,0,0
2019-04-02,12:40:44,239,340,271,357,131,7,0,0
2019-04-02,12:40:50,265,353,261,330,141,2,0,0
2019-04-02,12:40:51,264,283,232,350,157,1,0,0
2019-04-02,12:40:52,247,270,225,325,145,1,0,0
2019-04-02,12:40:56,143,181,239,316,130,2,0,0
2019-04-02,12:40:58,264,314,214,354,162,1,0,0
2019-04-02,12:41:03,271,340,241,339,141,4,0,0
2019-04-02,12:41:15,285,315,399,99,177,11,0,1
2019-04-02,12:41:20,176,190,214,179,133,1,0,0
2019-04-02,12:41:24,410,242,416,180,153,1,0,0
2019-04-02,12:41:28,282,190,449,157,189,7,0,1
2019-04-02,12:41:31,398,145,391,98,160,2,0,0
2019-04-02,12:50:01,515,320,405,131,169,4,0,1
2019-04-02,12:50:03,352,138,395,97,131,2,0,0
2019-04-02,13:05:56,382,96,265,130,152,2,0,0
2019-04-02,13:05:59,350,110,358,385,174,3,1,0
2019-04-02,13:06:01,384,88,241,334,183,4,1,0
2019-04-02,13:06:01,362,94,431,369,171,5,1,0
2019-04-02,13:06:02,326,356,238,229,170,3,0,0
2019-04-02,13:06:09,227,337,151,145,155,7,0,0
2019-04-02,13:06:10,412,383,339,87,173,3,0,1
2019-04-02,13:06:18,172,187,352,71,184,7,0,1
2019-04-02,13:06:22,143,245,402,104,161,4,0,1
2019-04-02,13:08:29,385,105,124,293,162,3,1,0
2019-04-02,13:08:29,356,136,398,99,130,2,0,0
2019-04-02,13:08:42,136,247,277,216,124,1,0,0
2019-04-02,13:08:45,253,189,382,103,166,3,0,1
2019-04-02,13:11:13,378,108,344,151,137,1,0,0
2019-04-02,13:11:15,362,113,394,99,124,1,0,0
2019-04-02,13:11:15,390,148,114,275,172,3,1,0
2019-04-02,13:11:52,145,256,421,137,165,3,0,1
2019-04-02,13:11:54,414,124,393,99,136,1,0,0
2019-04-02,13:27:11,347,131,405,99,130,2,0,0
2019-04-02,13:27:11,389,99,563,367,164,4,1,0
2019-04-02,13:28:03,547,352,212,115,169,4,0,0
2019-04-02,13:28:08,212,119,230,116,130,1,0,0
2019-04-02,13:28:10,226,120,227,136,131,1,0,0
2019-04-02,13:28:13,212,129,143,201,135,2,0,0
2019-04-02,13:28:21,166,210,399,99,163,5,0,1
2019-04-02,13:29:31,357,129,405,99,128,1,0,0
2019-04-02,13:29:32,380,100,139,289,162,4,1,0
2019-04-02,13:31:07,374,111,401,99,123,1,0,0
2019-04-02,13:31:08,382,100,569,378,165,4,1,0
2019-04-02,13:37:43,513,329,536,329,166,3,0,0
2019-04-02,13:38:00,512,318,393,99,166,5,0,1
2019-04-02,13:51:48,368,125,395,99,124,1,0,0
2019-04-02,13:51:49,388,97,563,372,164,3,1,0
2019-04-02,13:53:58,373,110,399,99,121,1,0,0
2019-04-02,13:53:59,375,108,120,233,173,3,1,0
2019-04-02,13:54:06,388,100,123,227,182,4,1,0
2019-04-02,13:54:26,146,253,369,389,146,3,0,0
2019-04-02,13:54:36,366,380,125,260,151,3,0,0
2019-04-02,13:55:14,515,329,395,99,166,5,0,1
2019-04-02,13:55:46,400,130,401,352,175,8,1,0
2019-04-02,13:55:59,407,348,133,224,168,3,0,0
2019-04-02,13:56:07,374,111,401,99,123,1,0,0
2019-04-02,13:56:08,380,104,577,377,165,3,1,0
2019-04-02,13:56:11,144,195,232,199,120,1,0,0
2019-04-02,13:56:13,146,226,315,181,160,2,0,0
2019-04-02,13:56:14,242,163,411,99,166,4,0,1
2019-04-02,13:56:16,296,179,393,99,178,3,0,1
